CustomerID,Customer Segment,First Name,Last Name,Address,City,State,Zip,Lat,Lon
2,Corporate,JEAN,SMITH,376 S JASMINE ST,DENVER,CO,80224,39.7097342857143,-104.918581741593
3,Corporate,JULIA,CARRERA,846 S UMATILLA WAY,DENVER,CO,80223,39.7009275356545,-105.012175941854
5,Home Office,LINDA,TREVINO,5360 ZUNI ST,DENVER,CO,80221,39.7939240392764,-105.015644744517
6,Home Office,H,MACK,1599 WILLIAMS ST,DENVER,CO,80218,39.74162,-104.966148340861
7,Home Office,MARISSA,LATTA,12066 E LAKE CIR,ENGLEWOOD,CO,80111,39.6064016372081,-104.849237400256
8,Home Office,PHYLLIS,WALKER,7225 S GAYLORD ST,LITTLETON,CO,80122,39.5871251428571,-104.962487942571
9,Home Office,VIVIAN,GAULDEN,4497 CORNISH WAY,DENVER,CO,80239,39.778242949727,-104.829779947848
10,Home Office,PAMELA,WRIGHT,2316 E 5TH AVE,DENVER,CO,80206,39.7239928674084,-104.959232244898
11,Home Office,MARIA,GONZALEZ,3883 QUITMAN ST,DENVER,CO,80212,39.7707029975632,-105.040646477717
12,Home Office,WANDA,MAYBERRY,1965 YUKON ST,DENVER,CO,80214,39.746908566321,-105.082754280269
14,Small Business,KATHLEEN,KIRBACH,2343 S VAUGHN WAY,AURORA,CO,80014,39.6743147430863,-104.835153505675
15,Small Business,BERNADETTE,MCKALE,4288 S RICHFIELD ST,AURORA,CO,80013,39.6402369673855,-104.784774079027
16,Small Business,JEANNINE,QUINLAN,5400 SHERIDAN BLVD,ARVADA,CO,80002,39.7940857151194,-105.052900133329
17,Small Business,CYNTHIA,LOUY,195 JADE ST,BROOMFIELD,CO,80020,39.9180434365499,-105.082784784243
18,Small Business,MICHAELA,BOLLWITT,4034 S CARSON ST,AURORA,CO,80014,39.6449538652297,-104.823147225862
19,Small Business,JENNIFER,CAMPBELL,22873 E CLIFTON PL,AURORA,CO,80016,39.5682573035422,-104.722953273192
20,Small Business,KRISTA,FLOREZ,2879 S MEMPHIS ST,AURORA,CO,80013,39.664674026209,-104.799148906669
21,Small Business,AVIVA,HEIFETS,3490 S BELLAIRE ST,DENVER,CO,80222,39.6531879477447,-104.937241282934
23,Corporate,LUCINDA,MAIA,4896 HARLAN ST,DENVER,CO,80212,39.7856068421053,-105.062461545177
24,Corporate,ROBIN,WALLIN,2855 ADAMS ST,DENVER,CO,80205,39.7576487755102,-104.949018382359
25,Corporate,DEBRA,HARGROVE,1370 S IDALIA ST,AURORA,CO,80017,39.692007526197,-104.806207447951
26,Corporate,MARGARET,MYERS,16087 E LEHIGH CIR,AURORA,CO,80013,39.6486633241185,-104.798836917123
27,Corporate,JOY,JOHNSON,11651 BENT OAKS ST,PARKER,CO,80138,39.5048500695856,-104.716695758249
28,Corporate,JULIE,MACK,14303 E NAPA PL,AURORA,CO,80014,39.6426412864348,-104.820372376367
29,Corporate,PATTI,MCDANIEL,1937 S PEORIA ST,AURORA,CO,80014,39.681750935669,-104.847495618679
31,Corporate,HEATHER,DULCY,1653 IOLA ST,AURORA,CO,80010,39.7429263265306,-104.864798344242
32,Corporate,CATHERINE,KNOWLES,9291 IRVING ST,WESTMINSTER,CO,80031,39.8650957984337,-105.031023795469
33,Corporate,G,MASSAROTTI,1370 PARK PL,BROOMFIELD,CO,80020,39.9370418499943,-105.069049751605
35,Small Business,VALERIE,GINSBURG,2100 16TH ST,DENVER,CO,80202,39.7548711033971,-105.004777494631
36,Small Business,LEIGH,WALLNER,200 RAMPART WAY,DENVER,CO,80230,39.7227572202326,-104.900624258067
37,Small Business,STACY,GILSON,4464 W GILL PL,DENVER,CO,80219,39.7048260121317,-105.045581381592
40,Corporate,CHARLENE,MCLEOD,8192 W 81ST DR,ARVADA,CO,80005,39.8422976596147,-105.087932689214
42,Consumer,TERESA,WIDENER,1330 YUKON ST,DENVER,CO,80214,39.7378055102041,-105.08243166901
43,Consumer,AISHA,DRERA,5428 S IDALIA WAY,AURORA,CO,80015,39.618569975018,-104.806981976613
45,Home Office,ANNE,JUENEMANN,408 CYPRESS ST,BROOMFIELD,CO,80020,39.9091659985055,-105.06373945783
46,Home Office,DIANE,ARONSON,6780 E CEDAR AVE,DENVER,CO,80224,39.714370454526,-104.909945951845
48,Corporate,LESA,PEYTON,2722 S TRUCKEE ST,AURORA,CO,80013,39.6665681071618,-104.780396304762
49,Corporate,CAROLYN,EDWARDS,4480 S TENNYSON ST,DENVER,CO,80236,39.6346006442944,-105.044054509683
50,Corporate,LORETTA,DAVIS,4325 EVERETT ST,WHEAT RIDGE,CO,80033,39.7759107945907,-105.095546073517
52,Corporate,SARAH,TOMMER,7130 SIMMS ST,ARVADA,CO,80004,39.8250851862873,-105.12832044967
53,Corporate,DANA,COLLINS,4762 E ARKANSAS AVE,DENVER,CO,80222,39.691021050569,-104.932120120558
55,Home Office,LINDA,GREEN,3445 S DOWNING ST,ENGLEWOOD,CO,80113,39.6541081045658,-104.973692601954
56,Consumer,NAOMI,SALAMAN,4551 W 89TH WAY,WESTMINSTER,CO,80031,39.8596447007525,-105.045797816577
57,Consumer,LYDIA,MAZANTI,10 S SHERMAN ST,DENVER,CO,80209,39.7163869533612,-104.984845101737
59,Small Business,CHRISTINE,DICKHANS,1313 WILLIAMS ST,DENVER,CO,80218,39.7370348647877,-104.966204622979
60,Small Business,BARBARA,MONAGHAN,9214 E FLOYD AVE,DENVER,CO,80231,39.6560384528198,-104.881443168081
61,Small Business,GALINA,KOTLYAR,5769 S HANNIBAL WAY,AURORA,CO,80015,39.6123475766694,-104.809583708419
62,Corporate,STEPHANIE,BENNETTS,8463 CHASE ST,ARVADA,CO,80003,39.850665147918,-105.057174799326
63,Corporate,SUSAN,POPA,11921 W 76TH DR,ARVADA,CO,80005,39.8396684404781,-105.130708558465
64,Small Business,VERLA,ARKO,8467 DOVER CT,ARVADA,CO,80005,39.8500615840137,-105.094412669418
65,Corporate,MARY,LAWLER,1007 W 17TH CT,BROOMFIELD,CO,80020,39.9407592219277,-105.082873413272
66,Corporate,RANDI,MASCARENAS,3928 W 98TH PL,WESTMINSTER,CO,80031,39.8767918803621,-105.038658443926
67,Corporate,SHERRY,FRITZ,6668 S CHERRY WAY,LITTLETON,CO,80121,39.5957589741945,-104.933826598713
68,Corporate,HEATHER,BLACK,605 S ALTON WAY,DENVER,CO,80247,39.7048033456383,-104.883428245668
69,Corporate,LYNISE,BRYANT,4405 S HELENA WAY,AURORA,CO,80015,39.6368309303416,-104.808208070378
70,Corporate,PATTY,BLOSSER,9200 W 66TH PL,ARVADA,CO,80004,39.817802871727,-105.100248583073
72,Small Business,NORMA,WARREN,4544 WYANDOT ST,DENVER,CO,80211,39.7788680333782,-105.014062402079
